Experiment,TimeTrack_Size,Dataset2_3_Size,Dataset,Model,Samples,Train Time (s),Memory Used (MB),Max CPU (%),Avg CPU (%),MAE,MSE,MAPE
Size_1890_284,1890,284,Dataset2,MLP,284,0.9159,7.99,12.44,8.59,0.019054506836195282,0.0005742875077334677,21.409063949678757
Size_1890_284,1890,284,Dataset3,LSTM,284,2.2958,37.71,16.54,10.56,0.07268300962858673,0.007723813553885609,25.16223097133411
Size_1890_284,1890,284,Dataset3,GRU,284,3.5118,48.77,20.76,12.74,0.06419957259603291,0.006338667676016985,22.055230431753515
Size_1890_284,1890,284,Dataset3,RNN,284,0.9818,2.07,472.42,57.99,0.05501176865502425,0.004560670073984495,17.853522435761334
Size_1890_284,1890,284,Dataset3,CNN,284,0.5775,1.26,12.46,8.52,0.08854735060112237,0.011344992231566016,30.816314492037666
Size_1890_284,1890,284,Dataset3,TCN,284,0.8157,14.02,17.44,10.3,0.07893856964970175,0.009087658631702735,26.35925219299614
Size_1890_284,1890,284,Dataset3,Transformer,284,1.8716,18.56,18.27,12.81,0.11511811182749018,0.021156353885177635,29.91916505332642
Size_1890_284,1890,284,Dataset3,MLP,284,1.1097,2.5,12.45,9.65,0.05668186540240648,0.004842135792292373,19.13292700315521
Size_2520_378,2520,378,TimeTrack,LSTM,2520,4.7824,42.07,24.87,16.07,0.014443378919106763,0.0006291116819608276,6.569590643678357
Size_2520_378,2520,378,TimeTrack,GRU,2520,3.9015,42.41,26.93,16.1,0.014667559461456491,0.0007157615887563591,6.520104649013557
Size_2520_378,2520,378,TimeTrack,RNN,2520,4.1223,8.93,23.21,17.54,0.01858906999847939,0.0009771802255125288,8.46663591909456
Size_2520_378,2520,378,TimeTrack,CNN,2520,1.9088,9.38,17.44,12.34,0.014235986545137585,0.0006147990965137765,6.533356255210397
Size_2520_378,2520,378,TimeTrack,TCN,2520,2.1786,17.54,22.44,15.58,0.015123582923317938,0.0006396428951192126,6.953134053752088
Size_2520_378,2520,378,TimeTrack,Transformer,2520,3.7497,27.62,24.07,17.09,0.015285036882323131,0.0008891425714782406,6.564722668856832
Size_2520_378,2520,378,TimeTrack,MLP,2520,1.9497,8.34,15.78,11.61,0.013315914041226094,0.0005934685811075139,6.022483589700439
Size_2520_378,2520,378,Dataset2,LSTM,378,1.7408,39.34,19.82,11.06,0.025515277673567014,0.0007442706113029374,34.35369599740135
Size_2520_378,2520,378,Dataset2,GRU,378,3.2964,69.67,19.09,12.28,0.024551061621464414,0.0007064136935941194,32.62917166283989
Size_2520_378,2520,378,Dataset2,RNN,378,1.2743,0.69,18.28,12.04,0.014754661342956239,0.0004177074975777849,18.223101774467168
Size_2520_378,2520,378,Dataset2,CNN,378,1.6734,0.47,13.29,10.47,0.014860950252561051,0.00041018777499425866,18.1686072435083
Size_2520_378,2520,378,Dataset2,TCN,378,1.7769,13.22,19.95,13.77,0.0238845564425747,0.0006786488925097107,31.67311905429538
Size_2520_378,2520,378,Dataset2,Transformer,378,1.8203,12.95,19.94,13.77,0.027100614108116903,0.0008153884028842245,37.1819553267547
Size_2520_378,2520,378,Dataset2,MLP,378,1.3057,7.85,243.25,28.7,0.015766568799797865,0.0004523330160355334,19.97851175313369
Size_2520_378,2520,378,Dataset3,LSTM,378,1.7574,32.56,17.26,10.02,0.08371009052506231,0.009876887344584548,21.454052473819846
Size_2520_378,2520,378,Dataset3,GRU,378,3.301,37.5,19.1,13.5,0.0741677732386259,0.008092804548389312,17.82201467539598
Size_2520_378,2520,378,Dataset3,RNN,378,1.8281,16.18,17.4,13.25,0.0720864929385442,0.007965051136456994,16.789604927919914
Size_2520_378,2520,378,Dataset3,CNN,378,1.4251,8.32,257.68,27.68,0.07673599199499077,0.008519511171119428,18.808532439553595
Size_2520_378,2520,378,Dataset3,TCN,378,2.0445,20.23,19.12,13.99,0.07502598204219912,0.008258423800069815,17.2611295060721
Size_2520_378,2520,378,Dataset3,Transformer,378,2.162,28.11,19.1,13.84,0.18423530121150658,0.0491013853298816,35.648174814976436
Size_2520_378,2520,378,Dataset3,MLP,378,0.9184,0.73,13.28,9.42,0.07388152920086852,0.00824693346441125,17.64150517982692
Size_3150_473,3150,473,TimeTrack,LSTM,3150,8.4382,45.48,24.87,16.53,0.006346330373045128,7.91945304400189e-05,3.3916848488644034
Size_3150_473,3150,473,TimeTrack,GRU,3150,6.3024,41.15,26.55,16.66,0.00788601233594205,0.00010196232676435433,4.248866935012045
Size_3150_473,3150,473,TimeTrack,RNN,3150,2.2209,12.98,23.18,15.86,0.00620013494290659,7.669745769325457e-05,3.3142762440841667
Size_3150_473,3150,473,TimeTrack,CNN,3150,4.1756,8.54,16.54,13.29,0.00578279739188788,7.055596216365545e-05,3.0796561681357493
Size_3150_473,3150,473,TimeTrack,TCN,3150,3.0245,89.9,24.93,18.36,0.007768291754625701,0.0001018620126424208,4.1734289297711555
Size_3150_473,3150,473,TimeTrack,Transformer,3150,3.4303,17.43,25.76,17.65,0.008199704614569862,0.00011137718590743042,4.398837425450916
Size_3150_473,3150,473,TimeTrack,MLP,3150,1.8885,3.84,14.12,11.65,0.0059340216796616415,7.202068624804559e-05,3.1596501206331897
Size_3150_473,3150,473,Dataset2,LSTM,473,1.738,17.97,340.18,12.2,0.029056113427406348,0.0019982660371069775,28.009474681703995
Size_3150_473,3150,473,Dataset2,GRU,473,1.6638,30.41,18.27,10.67,0.027962071669367705,0.002196524953182387,24.84316688215532
Size_3150_473,3150,473,Dataset2,RNN,473,1.4609,16.42,19.09,11.64,0.024706416199246753,0.0016770921388090205,23.457694356884005
Size_3150_473,3150,473,Dataset2,CNN,473,1.3647,6.39,13.24,10.43,0.025307310932054464,0.0018543717351406782,22.72867107054589
Size_3150_473,3150,473,Dataset2,TCN,473,1.1846,18.34,19.07,11.36,0.029512832057136097,0.002052171810906555,28.78014752451457
Size_3150_473,3150,473,Dataset2,Transformer,473,1.283,22.03,21.43,11.81,0.027118301540542705,0.002245315869371279,22.6823713329587
Size_3150_473,3150,473,Dataset2,MLP,473,1.3612,2.43,13.29,10.16,0.026808037167973985,0.0015302629251702853,28.647361166847446
Size_3150_473,3150,473,Dataset3,LSTM,473,3.5281,43.2,20.66,13.38,0.07444583969032309,0.010711919028228148,17.711948514627235
Size_3150_473,3150,473,Dataset3,GRU,473,2.7394,44.12,20.77,12.87,0.06388972401243113,0.008337520767592775,16.550972703353892
Size_3150_473,3150,473,Dataset3,RNN,473,2.3159,7.83,455.69,33.33,0.0692230880544751,0.009545291572318742,17.72185908040432
Size_3150_473,3150,473,Dataset3,CNN,473,1.4016,9.98,14.09,10.76,0.0658819836739512,0.008364772394631004,17.593140464190785
Size_3150_473,3150,473,Dataset3,TCN,473,2.2341,20.77,20.58,14.72,0.06489668678917503,0.008219944869431854,15.905321671079836
Size_3150_473,3150,473,Dataset3,Transformer,473,2.263,20.49,19.93,14.13,0.15209145480788144,0.03269982672550905,36.30767273850313
Size_3150_473,3150,473,Dataset3,MLP,473,0.9246,9.36,13.26,9.52,0.06006500431688239,0.007504397405187427,15.130371322994135
Size_3780_567,3780,567,TimeTrack,LSTM,3780,5.5554,37.25,22.32,15.88,0.02374486761140115,0.0027664739044631816,7.004111697146291
Size_3780_567,3780,567,TimeTrack,GRU,3780,4.8061,110.85,24.87,15.46,0.03149725631362269,0.005357105734567343,8.282922108783602
Size_3780_567,3780,567,TimeTrack,RNN,3780,3.7623,1.83,22.43,17.68,0.021418217223154096,0.0020896510034245194,6.425184541503779
Size_3780_567,3780,567,TimeTrack,CNN,3780,1.2812,0.32,15.74,12.02,0.028848119131222563,0.004270820865077401,8.116919732158411
Size_3780_567,3780,567,TimeTrack,TCN,3780,4.6362,14.45,25.65,19.1,0.022336013831230666,0.002290951349817228,6.835601870469862
Size_3780_567,3780,567,TimeTrack,Transformer,3780,3.3452,13.19,23.84,16.79,0.0447395738642085,0.010892733740896325,11.676893012123564
Size_3780_567,3780,567,TimeTrack,MLP,3780,1.2469,8.87,17.44,11.32,0.016879468013972502,0.0013080067275741494,5.717265490747966
Size_3780_567,3780,567,Dataset2,LSTM,567,2.2815,35.43,25.72,11.97,0.027068823331564303,0.0008920547519263986,37.29387053495525
Size_3780_567,3780,567,Dataset2,GRU,567,2.2497,36.05,20.76,12.12,0.02461451456880384,0.0008250127457189988,32.229736869206114
Size_3780_567,3780,567,Dataset2,RNN,567,2.1225,14.18,19.93,14.91,0.01930026526735565,0.000566394794785382,25.830521297718985
Size_3780_567,3780,567,Dataset2,CNN,567,1.6261,9.21,14.94,11.2,0.020696733325812764,0.0006413324377856016,27.171190567123617
Size_3780_567,3780,567,Dataset2,TCN,567,1.3295,18.15,19.93,13.34,0.02729649479954979,0.0009028874178032709,37.819342703859036
Size_3780_567,3780,567,Dataset2,Transformer,567,2.1485,27.66,23.26,14.57,0.02755900313405023,0.0009151827697556671,38.60995402820264
Size_3780_567,3780,567,Dataset2,MLP,567,0.949,0.97,13.29,9.68,0.01958692169288145,0.000555425049720811,25.727709114919474
Size_3780_567,3780,567,Dataset3,LSTM,567,3.6559,44.07,19.11,13.86,0.06505895931078179,0.006511071367634751,17.184658308458857
Size_3780_567,3780,567,Dataset3,GRU,567,3.889,38.21,23.23,14.71,0.05920156842067207,0.005621497744573531,15.503332891696076
Size_3780_567,3780,567,Dataset3,RNN,567,1.6844,13.0,19.93,13.85,0.057941815845819096,0.005410452827185947,15.489357539029733
Size_3780_567,3780,567,Dataset3,CNN,567,1.8415,7.17,14.04,11.37,0.0648569122006507,0.00633475928505414,17.884280585058804
Size_3780_567,3780,567,Dataset3,TCN,567,2.0293,18.38,20.69,15.27,0.060909525865845145,0.005860416319509111,15.892325973355675
Size_3780_567,3780,567,Dataset3,Transformer,567,2.4448,21.71,20.78,15.12,0.11042679450133353,0.018797890503942673,27.90589758324949
Size_3780_567,3780,567,Dataset3,MLP,567,1.4905,1.34,387.13,36.13,0.05813222397282641,0.0053587422809062545,15.311335080167021
Size_4410_662,4410,662,TimeTrack,LSTM,4410,14.9197,39.47,26.52,17.54,0.022410481850916576,0.0016979430364696647,8.300795241656553
Size_4410_662,4410,662,TimeTrack,GRU,4410,7.5945,112.79,23.9,17.38,0.02236475078488821,0.0017722973154824075,7.968966878524547
Size_4410_662,4410,662,TimeTrack,RNN,4410,6.5805,5.03,22.43,16.92,0.021518835569742583,0.0018758446637682745,7.247580745231341
Size_4410_662,4410,662,TimeTrack,CNN,4410,4.2441,4.98,16.61,13.26,0.022382012186130926,0.0017140218001344173,8.241395830022096
Size_4410_662,4410,662,TimeTrack,TCN,4410,8.829,8.79,26.57,21.0,0.02220739893213504,0.001884515610206368,7.797773990925575
Size_4410_662,4410,662,TimeTrack,Transformer,4410,5.8332,11.23,445.47,27.11,0.04533755905009274,0.010464662126566677,12.396910049645014
Size_4410_662,4410,662,TimeTrack,MLP,4410,2.4329,6.99,17.38,11.77,0.023350111915446514,0.0018010899300965992,8.960324498734384
Size_4410_662,4410,662,Dataset2,LSTM,662,1.568,26.28,19.1,11.23,0.02838835440198163,0.0008687396951995517,41.567955534827554
Size_4410_662,4410,662,Dataset2,GRU,662,3.3946,26.43,22.4,14.68,0.02326535916560151,0.0007142475520861741,31.457364180450952
Size_4410_662,4410,662,Dataset2,RNN,662,0.8231,6.98,17.44,10.63,0.015077777352322757,0.00036823203232678667,19.694044437422168
Size_4410_662,4410,662,Dataset2,CNN,662,1.397,6.23,14.11,11.02,0.015690250319221933,0.00035984052514312836,21.08980769419206
Size_4410_662,4410,662,Dataset2,TCN,662,0.8544,16.6,20.74,11.96,0.026423122947882217,0.0007745629340224647,38.002136981844714
Size_4410_662,4410,662,Dataset2,Transformer,662,1.6033,21.72,22.43,13.6,0.029426093127868227,0.0009303150726304335,43.63297883547168
Size_4410_662,4410,662,Dataset2,MLP,662,0.8189,8.48,13.26,9.65,0.014645280884137626,0.00036511421836777583,19.15085827814042
Size_4410_662,4410,662,Dataset3,LSTM,662,3.1901,37.98,18.26,13.8,0.07148223302732666,0.009327526774078651,18.813679545365112
Size_4410_662,4410,662,Dataset3,GRU,662,1.6894,30.34,21.41,12.55,0.06691148482619831,0.008216352616347705,17.376005626996253
Size_4410_662,4410,662,Dataset3,RNN,662,1.3168,11.32,16.62,12.48,0.06164729662582665,0.007402705371904038,15.591228270394442
Size_4410_662,4410,662,Dataset3,CNN,662,1.6131,6.96,14.12,11.11,0.06655548161961736,0.007969347673369381,16.468382519851012
Size_4410_662,4410,662,Dataset3,TCN,662,2.0693,17.79,20.78,16.19,0.06511956709286139,0.0076432392754449815,16.60952377740528
Size_4410_662,4410,662,Dataset3,Transformer,662,2.299,19.96,22.43,15.61,0.13613582281311168,0.025770960083451463,33.98638896902169
Size_4410_662,4410,662,Dataset3,MLP,662,1.4543,0.65,12.46,10.25,0.059584744261382584,0.006792539262302247,14.861787905196069
Size_5040_756,5040,756,TimeTrack,LSTM,5040,18.0401,40.7,24.05,17.27,0.01362021554274964,0.0008336714779508288,5.661783096704531
Size_5040_756,5040,756,TimeTrack,GRU,5040,11.058,39.22,24.9,17.26,0.01252096974381818,0.0008705083071244901,4.8285626395221835
Size_5040_756,5040,756,TimeTrack,RNN,5040,5.0503,9.93,24.07,18.73,0.012371600594328671,0.000823560152699805,4.892247374989088
Size_5040_756,5040,756,TimeTrack,CNN,5040,5.6924,9.48,17.43,13.68,0.015634866136949227,0.000926634542135048,6.611766131011823
Size_5040_756,5040,756,TimeTrack,TCN,5040,7.7662,20.17,26.6,21.32,0.01592935081681171,0.000985021697028177,6.681158419091157
