Experiment,TimeTrack_Size,Dataset2_3_Size,Dataset,Model,Samples,Train Time (s),Memory Used (MB),Max CPU (%),Avg CPU (%),MAE,MSE,MAPE
Size_19200_2880,19200,2880,Dataset3,GRU,2880,7.9751,37.0,42.09,17.15,0.065603,0.008341,20.1556
Size_19200_2880,19200,2880,Dataset3,LSTM,2880,9.4708,49.29,23.13,16.79,0.066755,0.008394,21.0917
Size_19200_2880,19200,2880,Dataset3,RNN,2880,3.1428,18.8,23.75,17.59,0.062774,0.00779,18.7207
Size_19200_2880,19200,2880,Dataset3,Transformer,2880,2.6823,23.65,26.73,17.53,0.123305,0.022214,44.8194
Size_19200_2880,19200,2880,TimeTrack,CNN,19200,6.2543,9.2,17.51,14.2,0.007107,0.000167,3.5308
Size_19200_2880,19200,2880,TimeTrack,GRU,19200,16.4109,43.76,37.9,18.42,0.007,0.000166,3.4758
Size_19200_2880,19200,2880,TimeTrack,LSTM,19200,16.8427,58.34,38.31,17.78,0.006876,0.000164,3.408
Size_19200_2880,19200,2880,TimeTrack,RNN,19200,9.5695,28.59,38.79,20.09,0.007201,0.000173,3.5727
Size_19200_2880,19200,2880,TimeTrack,Transformer,19200,10.266,26.5,26.89,20.73,0.01039,0.000267,5.2031
Size_2400_360,2400,360,Dataset2,CNN,360,1.1592,5.79,31.3,11.79,0.018643,0.000514,23.4344
Size_2400_360,2400,360,Dataset2,GRU,360,1.9728,30.14,18.51,11.77,0.025644,0.000772,33.0408
Size_2400_360,2400,360,Dataset2,LSTM,360,1.9319,35.31,17.19,11.28,0.024031,0.000701,30.453
Size_2400_360,2400,360,Dataset2,RNN,360,1.2569,10.52,36.53,12.51,0.018579,0.000532,23.6094
Size_2400_360,2400,360,Dataset2,Transformer,360,1.7603,21.51,20.22,13.34,0.027918,0.00085,37.3928
Size_2400_360,2400,360,Dataset3,CNN,360,1.226,6.52,13.24,10.35,0.075071,0.008193,15.018
Size_2400_360,2400,360,Dataset3,GRU,360,2.1321,31.23,59.0,13.89,0.078567,0.009036,15.5939
Size_2400_360,2400,360,Dataset3,LSTM,360,1.5205,33.97,17.1,10.27,0.096678,0.013374,18.6229
Size_2400_360,2400,360,Dataset3,RNN,360,1.4023,13.29,69.85,15.9,0.0715,0.007429,14.218
Size_2400_360,2400,360,Dataset3,Transformer,360,1.8264,22.26,50.44,15.16,0.244757,0.073182,44.0925
Size_2400_360,2400,360,TimeTrack,CNN,2400,2.0262,7.77,28.61,12.92,0.01871,0.000881,8.2724
Size_2400_360,2400,360,TimeTrack,GRU,2400,3.2105,38.74,23.2,14.87,0.017401,0.000922,7.3692
Size_2400_360,2400,360,TimeTrack,LSTM,2400,3.701,36.39,22.98,14.89,0.018154,0.000877,7.894
Size_2400_360,2400,360,TimeTrack,RNN,2400,3.861,16.08,38.21,17.49,0.01762,0.000826,7.789
Size_2400_360,2400,360,TimeTrack,Transformer,2400,3.3318,24.18,26.82,18.04,0.020932,0.001294,8.7228
Size_300_45,300,45,Dataset2,CNN,45,0.5261,6.82,47.8,9.78,0.018889,0.000536,21.9962
Size_300_45,300,45,Dataset2,GRU,45,1.3256,32.11,15.9,8.69,0.018717,0.000602,21.2425
Size_300_45,300,45,Dataset2,LSTM,45,1.3372,31.61,14.57,8.67,0.018055,0.000575,20.3115
Size_300_45,300,45,Dataset2,RNN,45,0.7256,13.2,37.29,11.31,0.024654,0.001061,28.9463
Size_300_45,300,45,Dataset2,Transformer,45,1.3073,21.84,28.83,10.62,0.035742,0.001808,41.1822
Size_300_45,300,45,Dataset3,CNN,45,0.717,5.94,27.31,10.33,0.096382,0.011498,22.0531
Size_300_45,300,45,Dataset3,GRU,45,1.5139,31.45,44.4,11.3,0.088006,0.009507,19.687
Size_300_45,300,45,Dataset3,LSTM,45,2.2684,30.5,32.74,10.29,0.097632,0.011538,22.3607
Size_300_45,300,45,Dataset3,RNN,45,0.7415,8.46,32.89,10.78,0.115213,0.01831,26.0795
Size_300_45,300,45,Dataset3,Transformer,45,1.3355,20.37,30.8,10.51,0.428363,0.190603,89.3716
Size_300_45,300,45,TimeTrack,CNN,300,0.7148,6.91,13.03,8.99,0.005138,4.6e-05,2.7194
Size_300_45,300,45,TimeTrack,GRU,300,1.8703,33.52,18.52,11.01,0.005345,4.5e-05,2.861
Size_300_45,300,45,TimeTrack,LSTM,300,2.6324,30.23,30.01,10.86,0.004996,4.2e-05,2.662
Size_300_45,300,45,TimeTrack,RNN,300,1.1117,10.16,53.89,14.09,0.005855,5.9e-05,3.0899
Size_300_45,300,45,TimeTrack,Transformer,300,1.9431,25.53,19.18,12.91,0.010758,0.000154,5.6355
Size_38400_5760,38400,5760,Dataset2,CNN,5760,5.7446,8.8,33.01,14.09,0.030292,0.001734,14.3904
Size_38400_5760,38400,5760,Dataset2,GRU,5760,6.3483,40.5,49.69,17.55,0.052978,0.004194,22.4358
Size_38400_5760,38400,5760,Dataset2,LSTM,5760,7.0578,52.8,22.29,17.0,0.054843,0.004422,23.175
Size_38400_5760,38400,5760,Dataset2,RNN,5760,4.5332,22.15,21.85,16.04,0.047548,0.003474,20.9592
Size_38400_5760,38400,5760,Dataset2,Transformer,5760,3.2142,21.39,27.66,18.66,0.13676,0.027689,51.1207
Size_38400_5760,38400,5760,Dataset3,CNN,5760,3.3528,7.22,35.8,14.26,0.059774,0.007096,21.5671
Size_38400_5760,38400,5760,Dataset3,GRU,5760,8.0632,38.73,23.46,17.56,0.060985,0.007786,20.3335
Size_38400_5760,38400,5760,Dataset3,LSTM,5760,9.99,55.36,22.96,17.26,0.062019,0.007732,21.7784
Size_38400_5760,38400,5760,Dataset3,RNN,5760,4.0402,25.46,21.83,16.15,0.060041,0.007424,19.7419
Size_38400_5760,38400,5760,Dataset3,Transformer,5760,2.8999,20.99,57.68,19.93,0.124504,0.023675,48.2124
Size_38400_5760,38400,5760,TimeTrack,CNN,38400,22.2375,9.5,31.11,14.73,0.010904,0.001104,4.6216
Size_38400_5760,38400,5760,TimeTrack,GRU,38400,48.834,44.32,44.17,18.83,0.011318,0.001093,4.859
Size_38400_5760,38400,5760,TimeTrack,LSTM,38400,48.6732,63.99,37.36,18.18,0.011057,0.001094,4.7429
Size_38400_5760,38400,5760,TimeTrack,RNN,38400,20.1629,31.98,24.7,20.6,0.012321,0.001169,5.2877
Size_38400_5760,38400,5760,TimeTrack,Transformer,38400,18.9166,27.34,27.06,21.65,0.024086,0.00588,8.1087
Size_4800_720,4800,720,Dataset2,CNN,720,1.1187,7.04,31.93,12.12,0.01676,0.000453,20.6155
Size_4800_720,4800,720,Dataset2,GRU,720,1.7353,31.81,38.25,12.22,0.020523,0.00066,25.1703
Size_4800_720,4800,720,Dataset2,LSTM,720,2.0711,33.64,20.96,11.04,0.02109,0.000665,26.271
Size_4800_720,4800,720,Dataset2,RNN,720,1.5522,18.45,33.87,13.72,0.016346,0.000451,19.955
Size_4800_720,4800,720,Dataset2,Transformer,720,1.2789,20.84,22.11,12.4,0.020732,0.000623,25.9102
Size_4800_720,4800,720,Dataset3,CNN,720,1.7151,6.71,14.61,11.6,0.063086,0.005841,17.4731
Size_4800_720,4800,720,Dataset3,GRU,720,3.5966,32.9,47.94,15.35,0.063177,0.005918,17.3347
Size_4800_720,4800,720,Dataset3,LSTM,720,3.4858,30.51,36.46,14.43,0.070299,0.007265,20.0683
Size_4800_720,4800,720,Dataset3,RNN,720,1.7959,17.74,35.04,15.67,0.061987,0.00577,17.0244
Size_4800_720,4800,720,Dataset3,Transformer,720,2.5555,23.06,36.32,16.4,0.13473,0.024513,36.686
Size_4800_720,4800,720,TimeTrack,CNN,4800,5.1625,7.46,17.34,13.95,0.015076,0.00096,6.1651
Size_4800_720,4800,720,TimeTrack,GRU,4800,11.1162,42.0,24.21,17.55,0.016033,0.000963,6.6466
Size_4800_720,4800,720,TimeTrack,LSTM,4800,12.9126,43.63,51.04,17.59,0.016057,0.000988,6.7226
Size_4800_720,4800,720,TimeTrack,RNN,4800,5.1129,25.14,57.6,19.25,0.016987,0.001014,7.1384
Size_4800_720,4800,720,TimeTrack,Transformer,4800,4.336,24.56,27.16,19.27,0.025972,0.005095,8.2031
Size_600_90,600,90,Dataset2,CNN,90,0.5806,6.9,25.12,10.21,0.015155,0.000421,18.4605
Size_600_90,600,90,Dataset2,GRU,90,1.3808,36.5,54.64,11.95,0.013428,0.00045,15.1574
Size_600_90,600,90,Dataset2,LSTM,90,1.362,30.04,36.78,10.85,0.013412,0.000464,14.9646
Size_600_90,600,90,Dataset2,RNN,90,0.9812,11.68,14.14,9.59,0.013211,0.000339,16.6099
Size_600_90,600,90,Dataset2,Transformer,90,1.4889,23.54,30.78,11.62,0.010274,0.000444,10.1505
Size_600_90,600,90,Dataset3,CNN,90,0.5059,6.3,26.85,10.36,0.079383,0.009783,30.1385
Size_600_90,600,90,Dataset3,GRU,90,1.5017,34.27,34.13,10.54,0.078405,0.009208,31.9381
Size_600_90,600,90,Dataset3,LSTM,90,1.3651,33.06,15.22,8.98,0.078702,0.009658,30.2937
Size_600_90,600,90,Dataset3,RNN,90,0.7317,10.58,26.54,9.94,0.105339,0.017188,41.0165
Size_600_90,600,90,Dataset3,Transformer,90,1.4117,23.24,15.16,10.38,0.183785,0.042681,61.5369
Size_600_90,600,90,TimeTrack,CNN,600,1.1387,6.78,41.41,12.61,0.007595,0.000256,3.6727
Size_600_90,600,90,TimeTrack,GRU,600,2.1325,34.0,56.17,13.69,0.008216,0.000266,4.0247
Size_600_90,600,90,TimeTrack,LSTM,600,2.0911,32.52,38.43,12.87,0.007909,0.000267,3.8378
Size_600_90,600,90,TimeTrack,RNN,600,1.8269,13.44,20.0,14.06,0.007847,0.000278,3.8119
Size_600_90,600,90,TimeTrack,Transformer,600,2.4088,25.06,36.35,15.84,0.007922,0.000295,3.8063
Size_9600_1440,9600,1440,Dataset2,CNN,1440,1.6913,7.7,60.27,14.03,0.014438,0.000664,15.8593
Size_9600_1440,9600,1440,Dataset2,GRU,1440,2.5466,35.53,23.53,13.81,0.021538,0.000985,24.3645
Size_9600_1440,9600,1440,Dataset2,LSTM,1440,3.0705,47.56,50.54,14.38,0.021615,0.000988,24.5056
Size_9600_1440,9600,1440,Dataset2,RNN,1440,1.5686,18.48,44.58,16.23,0.016109,0.000737,18.1313
Size_9600_1440,9600,1440,Dataset2,Transformer,1440,1.4446,21.84,22.14,13.68,0.020609,0.000977,22.8032
Size_9600_1440,9600,1440,Dataset3,CNN,1440,2.0203,6.6,37.09,13.73,0.069444,0.00787,27.4364
Size_9600_1440,9600,1440,Dataset3,GRU,1440,5.2056,37.42,23.3,15.7,0.067364,0.008024,24.7479
Size_9600_1440,9600,1440,Dataset3,LSTM,1440,6.0442,44.21,45.99,15.98,0.0707,0.008504,26.9534
Size_9600_1440,9600,1440,Dataset3,RNN,1440,2.3687,17.92,22.27,15.96,0.066348,0.007708,24.3245
Size_9600_1440,9600,1440,Dataset3,Transformer,1440,3.0357,23.46,43.58,18.49,0.128421,0.024454,61.7748
Size_9600_1440,9600,1440,TimeTrack,CNN,9600,4.9988,8.4,53.05,14.72,0.009174,0.000333,4.1782
Size_9600_1440,9600,1440,TimeTrack,GRU,9600,11.5721,42.57,24.37,17.82,0.009175,0.000337,4.1506
Size_9600_1440,9600,1440,TimeTrack,LSTM,9600,14.9935,54.55,24.1,17.45,0.009285,0.000351,4.1787
Size_9600_1440,9600,1440,TimeTrack,RNN,9600,6.6431,27.83,40.42,19.64,0.009442,0.000341,4.304
Size_9600_1440,9600,1440,TimeTrack,Transformer,9600,4.8384,25.51,40.53,19.53,0.018704,0.0029,6.7533
