Experiment,TimeTrack_Size,Dataset2_3_Size,Dataset,Model,Samples,Train Time (s),Memory Used (MB),Max CPU (%),Avg CPU (%),MAE,MSE,MAPE
Size_19200_2880,19200,2880,Dataset3,GRU,2880,8.0924,36.0,45.7,17.19,0.065573,0.008319,20.1843
Size_19200_2880,19200,2880,Dataset3,LSTM,2880,9.6226,29.29,23.18,16.84,0.066798,0.008396,21.1409
Size_19200_2880,19200,2880,Dataset3,RNN,2880,3.1579,10.8,23.68,17.51,0.062667,0.007802,18.6028
Size_19200_2880,19200,2880,Dataset3,Transformer,2880,2.68,23.65,26.48,17.5,0.123304,0.022213,44.8201
Size_19200_2880,19200,2880,TimeTrack,CNN,19200,5.7576,12.64,17.54,14.18,0.007101,0.000168,3.5224
Size_19200_2880,19200,2880,TimeTrack,GRU,19200,16.2506,31.76,40.56,18.38,0.007006,0.000166,3.479
Size_19200_2880,19200,2880,TimeTrack,LSTM,19200,17.4992,31.34,41.05,17.82,0.00687,0.000164,3.4024
Size_19200_2880,19200,2880,TimeTrack,RNN,19200,9.9022,21.59,41.69,20.11,0.007219,0.000172,3.585
Size_19200_2880,19200,2880,TimeTrack,Transformer,19200,10.7885,28.5,27.11,20.8,0.010275,0.000266,5.1382
Size_2400_360,2400,360,Dataset2,CNN,360,1.1305,5.79,35.02,12.11,0.018653,0.000514,23.4312
Size_2400_360,2400,360,Dataset2,GRU,360,1.975,25.14,18.46,11.79,0.025545,0.000768,32.8718
Size_2400_360,2400,360,Dataset2,LSTM,360,1.8115,28.31,17.15,11.14,0.024336,0.000709,30.9694
Size_2400_360,2400,360,Dataset2,RNN,360,1.2152,10.52,16.43,11.11,0.018194,0.000513,22.9357
Size_2400_360,2400,360,Dataset2,Transformer,360,1.7411,21.51,20.23,13.33,0.027917,0.00085,37.3925
Size_2400_360,2400,360,Dataset3,CNN,360,1.2161,6.52,13.34,10.37,0.075638,0.008324,15.1093
Size_2400_360,2400,360,Dataset3,GRU,360,2.0528,27.23,43.97,13.1,0.079703,0.009315,15.718
Size_2400_360,2400,360,Dataset3,LSTM,360,1.4637,27.97,17.11,10.19,0.098053,0.013747,18.8362
Size_2400_360,2400,360,Dataset3,RNN,360,1.3514,10.29,80.45,16.69,0.071017,0.007307,14.1807
Size_2400_360,2400,360,Dataset3,Transformer,360,1.8075,22.26,19.98,13.52,0.24475,0.073178,44.091
Size_2400_360,2400,360,TimeTrack,CNN,2400,2.0002,27.77,16.19,12.45,0.018656,0.000883,8.2361
Size_2400_360,2400,360,TimeTrack,GRU,2400,3.1535,43.74,22.79,14.8,0.017217,0.000904,7.3009
Size_2400_360,2400,360,TimeTrack,LSTM,2400,3.5529,36.39,22.88,14.75,0.018153,0.000875,7.8996
Size_2400_360,2400,360,TimeTrack,RNN,2400,3.7313,101.08,41.09,17.35,0.017607,0.000828,7.7836
Size_2400_360,2400,360,TimeTrack,Transformer,2400,3.3567,24.18,26.92,18.18,0.020929,0.001294,8.7218
Size_300_45,300,45,Dataset2,CNN,45,0.5286,6.82,31.36,11.88,0.01918,0.000551,22.3008
Size_300_45,300,45,Dataset2,GRU,45,1.2842,32.11,16.05,8.72,0.018622,0.000602,21.0755
Size_300_45,300,45,Dataset2,LSTM,45,1.337,31.61,14.55,8.67,0.017563,0.000568,19.577
Size_300_45,300,45,Dataset2,RNN,45,0.7142,13.2,12.14,8.08,0.024888,0.001063,29.4273
Size_300_45,300,45,Dataset2,Transformer,45,1.3028,21.84,32.05,10.88,0.035721,0.001806,41.1551
Size_300_45,300,45,Dataset3,CNN,45,0.7242,5.94,30.62,10.79,0.096362,0.011591,22.0802
Size_300_45,300,45,Dataset3,GRU,45,1.5098,31.45,49.85,11.69,0.088314,0.00956,19.7653
Size_300_45,300,45,Dataset3,LSTM,45,2.4127,135.5,36.35,10.54,0.097326,0.011454,22.2725
Size_300_45,300,45,Dataset3,RNN,45,0.7451,8.46,37.05,11.31,0.119213,0.019575,27.0525
Size_300_45,300,45,Dataset3,Transformer,45,1.3382,20.37,34.37,10.75,0.428363,0.190603,89.3717
Size_300_45,300,45,TimeTrack,CNN,300,0.7047,6.91,12.98,8.95,0.005148,4.6e-05,2.7271
Size_300_45,300,45,TimeTrack,GRU,300,1.8445,33.52,18.57,11.01,0.005386,4.6e-05,2.883
Size_300_45,300,45,TimeTrack,LSTM,300,1.7783,30.23,16.98,10.69,0.005014,4.2e-05,2.6725
Size_300_45,300,45,TimeTrack,RNN,300,1.1039,10.16,17.98,11.15,0.005954,6.1e-05,3.139
Size_300_45,300,45,TimeTrack,Transformer,300,1.9204,25.53,19.31,12.93,0.010755,0.000154,5.6336
Size_38400_5760,38400,5760,Dataset2,CNN,5760,5.747,7.55,36.35,14.19,0.029965,0.001716,14.259
Size_38400_5760,38400,5760,Dataset2,GRU,5760,6.3249,38.5,54.93,17.65,0.053357,0.004253,22.5465
Size_38400_5760,38400,5760,Dataset2,LSTM,5760,7.0037,23.8,22.23,16.95,0.05427,0.004328,23.0317
Size_38400_5760,38400,5760,Dataset2,RNN,5760,4.5336,86.15,21.96,16.01,0.047212,0.003437,20.8506
Size_38400_5760,38400,5760,Dataset2,Transformer,5760,3.2053,21.39,27.72,18.79,0.136783,0.027696,51.1333
Size_38400_5760,38400,5760,Dataset3,CNN,5760,3.4684,7.22,39.76,14.49,0.059775,0.007075,21.5994
Size_38400_5760,38400,5760,Dataset3,GRU,5760,8.063,28.73,23.51,17.55,0.060986,0.007791,20.3226
Size_38400_5760,38400,5760,Dataset3,LSTM,5760,9.7754,65.36,23.02,17.25,0.062136,0.007734,21.885
Size_38400_5760,38400,5760,Dataset3,RNN,5760,4.0247,11.46,21.89,16.1,0.060098,0.007451,19.6634
Size_38400_5760,38400,5760,Dataset3,Transformer,5760,2.8857,20.99,63.58,20.18,0.124497,0.023669,48.2248
Size_38400_5760,38400,5760,TimeTrack,CNN,38400,21.4171,10.6,33.86,14.75,0.010954,0.001109,4.6443
Size_38400_5760,38400,5760,TimeTrack,GRU,38400,49.1049,39.32,47.92,18.79,0.01119,0.001091,4.7989
Size_38400_5760,38400,5760,TimeTrack,LSTM,38400,50.1238,33.99,39.75,18.13,0.011051,0.00109,4.7328
Size_38400_5760,38400,5760,TimeTrack,RNN,38400,20.3241,11.98,24.66,20.58,0.012407,0.00117,5.3351
Size_38400_5760,38400,5760,TimeTrack,Transformer,38400,19.1125,22.34,27.16,21.68,0.024315,0.005877,8.2385
Size_4800_720,4800,720,Dataset2,CNN,720,1.1228,11.34,14.6,10.85,0.016746,0.000453,20.5958
Size_4800_720,4800,720,Dataset2,GRU,720,1.7469,31.81,41.42,12.37,0.020797,0.000664,25.6796
Size_4800_720,4800,720,Dataset2,LSTM,720,2.0948,76.64,21.22,10.9,0.020571,0.000654,25.3158
Size_4800_720,4800,720,Dataset2,RNN,720,1.5769,58.45,20.36,12.49,0.016154,0.000451,19.5897
Size_4800_720,4800,720,Dataset2,Transformer,720,1.2642,20.84,21.94,12.4,0.020741,0.000623,25.9267
Size_4800_720,4800,720,Dataset3,CNN,720,1.709,6.71,14.66,11.61,0.062998,0.005822,17.4267
Size_4800_720,4800,720,Dataset3,GRU,720,3.5502,32.9,52.77,15.46,0.063274,0.005934,17.3672
Size_4800_720,4800,720,Dataset3,LSTM,720,3.4291,30.51,39.57,14.47,0.070612,0.007335,20.1543
Size_4800_720,4800,720,Dataset3,RNN,720,1.7608,10.74,37.9,15.83,0.062018,0.005772,17.0618
Size_4800_720,4800,720,Dataset3,Transformer,720,2.5151,23.06,21.92,15.87,0.134723,0.02451,36.6876
Size_4800_720,4800,720,TimeTrack,CNN,4800,5.0118,7.46,17.32,13.94,0.01486,0.000957,6.045
Size_4800_720,4800,720,TimeTrack,GRU,4800,11.1882,37.0,24.08,17.57,0.016223,0.000964,6.7578
Size_4800_720,4800,720,TimeTrack,LSTM,4800,13.2597,36.63,39.04,17.42,0.015898,0.000963,6.6823
Size_4800_720,4800,720,TimeTrack,RNN,4800,5.1931,27.14,47.74,19.14,0.017272,0.001016,7.3046
Size_4800_720,4800,720,TimeTrack,Transformer,4800,4.2115,24.56,27.34,19.33,0.025936,0.005097,8.1812
Size_600_90,600,90,Dataset2,CNN,90,0.5302,6.9,27.93,10.62,0.015641,0.000435,19.1724
Size_600_90,600,90,Dataset2,GRU,90,1.3335,36.5,62.47,12.48,0.013546,0.000457,15.2812
Size_600_90,600,90,Dataset2,LSTM,90,1.3751,30.04,41.09,11.3,0.01326,0.000467,14.6839
Size_600_90,600,90,Dataset2,RNN,90,0.9763,11.68,14.22,9.63,0.012455,0.000303,15.5617
Size_600_90,600,90,Dataset2,Transformer,90,1.4038,27.54,34.06,11.92,0.01027,0.000444,10.1373
Size_600_90,600,90,Dataset3,CNN,90,0.4945,6.9,30.07,10.93,0.08004,0.009848,30.4906
Size_600_90,600,90,Dataset3,GRU,90,1.5021,56.27,37.69,10.81,0.076915,0.008929,31.0692
Size_600_90,600,90,Dataset3,LSTM,90,1.3406,33.06,15.27,8.98,0.079035,0.009667,30.5495
Size_600_90,600,90,Dataset3,RNN,90,0.7166,10.58,29.3,10.28,0.107201,0.017705,42.0912
Size_600_90,600,90,Dataset3,Transformer,90,1.3783,23.24,15.21,10.39,0.183776,0.042678,61.5331
Size_600_90,600,90,TimeTrack,CNN,600,1.122,6.78,46.81,12.97,0.007635,0.000256,3.6949
Size_600_90,600,90,TimeTrack,GRU,600,2.1612,34.0,62.98,14.08,0.008096,0.000264,3.9574
Size_600_90,600,90,TimeTrack,LSTM,600,2.0949,32.52,42.19,13.04,0.007907,0.000267,3.8361
Size_600_90,600,90,TimeTrack,RNN,600,1.8254,13.44,19.85,14.01,0.00791,0.00028,3.8468
Size_600_90,600,90,TimeTrack,Transformer,600,2.378,25.06,22.4,15.19,0.007931,0.000295,3.8114
Size_9600_1440,9600,1440,Dataset2,CNN,1440,1.6447,17.7,69.34,15.63,0.014413,0.000666,15.827
Size_9600_1440,9600,1440,Dataset2,GRU,1440,2.5175,32.53,23.37,13.71,0.021629,0.000987,24.5307
Size_9600_1440,9600,1440,Dataset2,LSTM,1440,3.187,97.56,55.9,14.66,0.021649,0.000988,24.5691
Size_9600_1440,9600,1440,Dataset2,RNN,1440,1.5473,11.48,22.24,14.57,0.016141,0.000737,18.2755
Size_9600_1440,9600,1440,Dataset2,Transformer,1440,1.3919,25.14,24.84,13.77,0.02058,0.000978,22.7472
Size_9600_1440,9600,1440,Dataset3,CNN,1440,2.0124,6.6,41.47,14.08,0.069151,0.00782,27.3134
Size_9600_1440,9600,1440,Dataset3,GRU,1440,5.2058,60.42,23.49,15.71,0.067593,0.008061,24.9018
Size_9600_1440,9600,1440,Dataset3,LSTM,1440,6.0944,74.21,50.78,16.07,0.070307,0.008432,26.715
Size_9600_1440,9600,1440,Dataset3,RNN,1440,2.3386,8.25,22.08,15.96,0.066401,0.007712,24.3331
Size_9600_1440,9600,1440,Dataset3,Transformer,1440,3.9403,20.46,47.37,18.63,0.128449,0.024467,61.7932
Size_9600_1440,9600,1440,TimeTrack,CNN,9600,5.023,13.4,60.23,14.88,0.009184,0.000331,4.1963
Size_9600_1440,9600,1440,TimeTrack,GRU,9600,11.9112,35.57,24.26,17.77,0.009201,0.000336,4.1677
Size_9600_1440,9600,1440,TimeTrack,LSTM,9600,15.5506,33.55,24.12,17.48,0.009099,0.000345,4.0721
Size_9600_1440,9600,1440,TimeTrack,RNN,9600,6.4412,9.83,43.53,19.65,0.00946,0.000342,4.3155
Size_9600_1440,9600,1440,TimeTrack,Transformer,9600,3.7587,22.51,43.39,19.65,0.018705,0.0029,6.7539
