Experiment,TimeTrack_Size,Dataset2_3_Size,Dataset,Model,Samples,Train Time (s),Memory Used (MB),Max CPU (%),Avg CPU (%)
Size_9600_1440,9600,1440,Dataset2,GRU,1440,2.5466,35.53,23.53,13.81
Size_9600_1440,9600,1440,Dataset2,LSTM,1440,3.0705,47.56,50.54,14.38
Size_9600_1440,9600,1440,Dataset2,RNN,1440,1.5686,18.48,44.58,16.23
Size_9600_1440,9600,1440,Dataset2,Transformer,1440,1.4446,21.84,22.14,13.68
Size_9600_1440,9600,1440,Dataset3,CNN,1440,2.0203,6.6,37.09,13.73
Size_9600_1440,9600,1440,Dataset3,GRU,1440,5.2056,37.42,23.3,15.7
Size_9600_1440,9600,1440,Dataset3,LSTM,1440,6.0442,44.21,45.99,15.98
Size_9600_1440,9600,1440,Dataset3,RNN,1440,2.3687,17.92,22.27,15.96
Size_9600_1440,9600,1440,Dataset3,Transformer,1440,3.0357,23.46,43.58,18.49
Size_9600_1440,9600,1440,TimeTrack,CNN,9600,4.9988,8.4,53.05,14.72
Size_9600_1440,9600,1440,TimeTrack,GRU,9600,11.5721,42.57,24.37,17.82
Size_9600_1440,9600,1440,TimeTrack,LSTM,9600,14.9935,54.55,24.1,17.45
Size_9600_1440,9600,1440,TimeTrack,RNN,9600,6.6431,27.83,40.42,19.64
Size_9600_1440,9600,1440,TimeTrack,Transformer,9600,4.8384,25.51,40.53,19.53
