Run,Experiment,TimeTrack_Size,Dataset2_3_Size,Dataset,Model,Samples,Train Time (s),Memory Used (MB),Max CPU (%),Avg CPU (%),MAE,MSE,MAPE
1,Size_4800_720,4800,720,Dataset3,GRU,720,4.0502,40.15,19.93,14.61,0.06228948015885817,0.005824955802733495,16.671630886628567
1,Size_4800_720,4800,720,Dataset3,RNN,720,2.4411,6.36,19.93,15.43,0.061305948574729555,0.005622645280536277,17.59095497233636
1,Size_4800_720,4800,720,Dataset3,CNN,720,1.6167,9.96,15.78,11.49,0.06066522276763832,0.0054650184635831565,16.562846599128285
1,Size_4800_720,4800,720,Dataset3,Transformer,720,2.5304,25.65,22.43,15.85,0.13468056735595837,0.024491326062488494,36.69561480485415
1,Size_9600_1440,9600,1440,TimeTrack,LSTM,9600,12.206,41.57,30.72,17.26,0.00991344043393226,0.00036842960802144827,4.589387327973234
1,Size_9600_1440,9600,1440,TimeTrack,GRU,9600,7.3159,47.62,21.6,16.15,0.009422164534943498,0.00037722243579946387,4.164662272012682
1,Size_9600_1440,9600,1440,TimeTrack,RNN,9600,6.6557,6.46,24.11,18.22,0.009695454488311227,0.00034461218120284564,4.410115229249976
1,Size_9600_1440,9600,1440,TimeTrack,CNN,9600,6.1694,98.0,17.44,14.37,0.008970970171310754,0.0003236218424550968,4.106371678705544
1,Size_9600_1440,9600,1440,TimeTrack,Transformer,9600,3.7066,10.3,25.77,19.45,0.018477121333362094,0.002905534149974939,6.619954078424054
1,Size_9600_1440,9600,1440,Dataset2,LSTM,1440,2.5682,24.73,24.06,13.57,0.018866294690585504,0.0010159254221089513,19.301958887825105
1,Size_9600_1440,9600,1440,Dataset2,GRU,1440,2.3341,32.73,27.38,13.84,0.022369963709545946,0.0009733710701764137,25.87379251677982
1,Size_9600_1440,9600,1440,Dataset2,RNN,1440,1.1282,15.92,19.93,13.17,0.01620367845633638,0.0007852856272813342,18.127535156835417
1,Size_9600_1440,9600,1440,Dataset2,CNN,1440,1.7786,6.96,420.09,35.61,0.01471550638899202,0.0006554866747484358,16.464825359562763
1,Size_9600_1440,9600,1440,Dataset2,Transformer,1440,1.5119,24.08,24.92,13.83,0.02078205349519704,0.0009757020033668654,23.135696849200215
1,Size_9600_1440,9600,1440,Dataset3,LSTM,1440,4.1783,33.06,23.25,15.08,0.0736148360515362,0.009194655805557757,28.77768927982021
1,Size_9600_1440,9600,1440,Dataset3,GRU,1440,3.8395,41.26,25.55,15.1,0.06725863257131089,0.007990883646493018,24.764671041524434
1,Size_9600_1440,9600,1440,Dataset3,RNN,1440,1.9526,8.11,22.43,15.5,0.06433846686424965,0.007547893474236384,22.189497244099602
1,Size_9600_1440,9600,1440,Dataset3,CNN,1440,2.3895,9.22,15.78,12.67,0.0692817245825747,0.007717449063884411,27.825523095799724
1,Size_9600_1440,9600,1440,Dataset3,Transformer,1440,3.8224,26.8,24.08,18.36,0.12900925955693723,0.024725114211892333,62.156991733872935
1,Size_19200_2880,19200,2880,TimeTrack,LSTM,19200,13.8856,40.81,24.91,17.57,0.006998857487107913,0.00016472910679013065,3.4966289245979847
1,Size_19200_2880,19200,2880,TimeTrack,GRU,19200,15.2368,43.05,23.27,17.73,0.007258147937864445,0.00017252271561456412,3.5851797044682776
1,Size_19200_2880,19200,2880,TimeTrack,RNN,19200,8.7014,12.59,24.09,20.14,0.007132073793563857,0.0001695524607702886,3.5591882617651462
1,Size_19200_2880,19200,2880,TimeTrack,CNN,19200,6.49,7.49,17.42,14.1,0.007255531998217827,0.00017087749029546693,3.5739749363895137
1,Size_19200_2880,19200,2880,TimeTrack,Transformer,19200,10.4913,110.77,25.77,20.42,0.011103007235661549,0.0002729470303524905,5.605610844829485
1,Size_19200_2880,19200,2880,Dataset2,LSTM,2880,3.5337,3.51,22.44,14.77,0.02449453522199298,0.0015331051728075318,28.397708030497153
1,Size_19200_2880,19200,2880,Dataset2,GRU,2880,6.6236,29.0,25.69,16.88,0.020048769566341457,0.0014357914477322548,21.43076777943093
1,Size_19200_2880,19200,2880,Dataset2,RNN,2880,2.1775,14.34,24.93,16.7,0.018372850793944875,0.0011693587156426592,22.66649706541864
1,Size_19200_2880,19200,2880,Dataset2,CNN,2880,1.5229,4.42,16.5,12.03,0.016160660127706908,0.0011971371152246742,17.890083141396268
1,Size_19200_2880,19200,2880,Dataset2,Transformer,2880,2.8582,26.05,26.57,17.81,0.025787818167088448,0.0020239674271382594,29.069011034076535
1,Size_19200_2880,19200,2880,Dataset3,LSTM,2880,8.2774,31.05,23.25,16.8,0.06644443003933481,0.00837911151978714,20.76852259006497
1,Size_19200_2880,19200,2880,Dataset3,GRU,2880,5.5625,41.14,21.55,16.0,0.0660118076541711,0.00836374613958605,20.52867533988088
1,Size_19200_2880,19200,2880,Dataset3,RNN,2880,3.7176,9.25,23.27,17.88,0.06375548042869045,0.007645858356655317,20.407957849327353
1,Size_19200_2880,19200,2880,Dataset3,CNN,2880,2.8772,8.97,16.57,13.52,0.06138354390167338,0.007315771426749252,18.862882066851405
1,Size_19200_2880,19200,2880,Dataset3,Transformer,2880,2.6349,23.35,25.78,17.4,0.1233242186550654,0.02222384385713328,44.79552508375375
1,Size_38400_5760,38400,5760,TimeTrack,LSTM,38400,37.1672,35.17,22.43,17.85,0.011075466606690794,0.001093476519851421,4.812402025502004
1,Size_38400_5760,38400,5760,TimeTrack,GRU,38400,66.042,44.42,24.9,18.58,0.010745596379874895,0.0010733942039573363,4.55726439753621
1,Size_38400_5760,38400,5760,TimeTrack,RNN,38400,22.1257,14.16,24.1,20.42,0.012305250315475942,0.001186706509711874,5.248720310784722
1,Size_38400_5760,38400,5760,TimeTrack,CNN,38400,13.8102,9.11,19.02,14.61,0.011085861111061643,0.0011511229514079597,4.70259842111219
1,Size_38400_5760,38400,5760,TimeTrack,Transformer,38400,28.4161,26.9,26.6,22.45,0.02381670652674553,0.005880453940395781,7.958443665073153
1,Size_38400_5760,38400,5760,Dataset2,LSTM,5760,7.4683,40.0,22.43,17.15,0.060688918710535125,0.005291436016009106,25.38231418536213
1,Size_38400_5760,38400,5760,Dataset2,GRU,5760,6.6654,134.13,22.41,16.24,0.0603303274768128,0.005371082251078414,24.304328953929037
1,Size_38400_5760,38400,5760,Dataset2,RNN,5760,4.0842,3.64,21.59,16.39,0.04945309756891027,0.003665096519219787,21.274059928431885
1,Size_38400_5760,38400,5760,Dataset2,CNN,5760,7.9895,6.6,16.55,13.96,0.025100956800759848,0.0013971246464107715,12.512187695383869
1,Size_38400_5760,38400,5760,Dataset2,Transformer,5760,2.4373,12.44,27.39,17.69,0.13684791667628404,0.027720224798971765,51.154159558673896
1,Size_38400_5760,38400,5760,Dataset3,LSTM,5760,9.7053,11.85,23.79,17.33,0.06074106130872046,0.007700460848269926,20.458933666881165
1,Size_38400_5760,38400,5760,Dataset3,GRU,5760,7.1401,31.55,25.72,17.47,0.061366105936710026,0.007785319765451952,20.685910170343778
1,Size_38400_5760,38400,5760,Dataset3,RNN,5760,4.1547,14.11,22.41,16.17,0.05943074373727364,0.007291591344465822,19.058519515804427
1,Size_38400_5760,38400,5760,Dataset3,CNN,5760,2.9519,8.99,15.78,13.04,0.0609140140135675,0.00709747659781189,21.838652593280838
1,Size_38400_5760,38400,5760,Dataset3,Transformer,5760,2.8693,20.32,29.03,18.75,0.12449418530017693,0.02366660234145531,48.22691943527515
2,Size_300_45,300,45,TimeTrack,LSTM,300,1.8034,26.5,16.6,10.61,0.004996638906814428,4.1197378790026674e-05,2.665787680954711
2,Size_300_45,300,45,TimeTrack,GRU,300,2.292,36.25,17.44,11.7,0.005464753632961372,4.665706516992708e-05,2.928202397115231
2,Size_300_45,300,45,TimeTrack,RNN,300,0.8267,10.8,17.44,10.33,0.006025903970121054,6.114692598460194e-05,3.170640881748125
2,Size_300_45,300,45,TimeTrack,CNN,300,1.2078,8.45,13.28,10.21,0.005128704258539823,4.294378890769592e-05,2.739772856945064
2,Size_300_45,300,45,TimeTrack,Transformer,300,2.1207,26.05,19.08,12.91,0.010723658184463632,0.00015371238636041168,5.617041017226649
2,Size_300_45,300,45,Dataset2,LSTM,45,1.2871,37.5,14.91,8.57,0.017614734307237093,0.0005691093935428312,19.459041420633742
2,Size_300_45,300,45,Dataset2,GRU,45,1.2569,39.62,15.77,8.56,0.015209569809997842,0.0006342204226428577,15.400534398357651
2,Size_300_45,300,45,Dataset2,RNN,45,0.6699,14.96,9.97,7.67,0.020726116903143972,0.0009685043804723943,21.906070666592793
2,Size_300_45,300,45,Dataset2,CNN,45,0.4949,8.12,324.68,72.19,0.01940563355842564,0.0005614221420465384,22.708817486445245
2,Size_300_45,300,45,Dataset2,Transformer,45,1.319,24.84,13.29,9.43,0.03540945391934884,0.0017838895913949025,40.747612581867045
2,Size_300_45,300,45,Dataset3,LSTM,45,1.4393,34.66,15.73,9.34,0.09277178951732634,0.010213072892950089,21.02940065995886
2,Size_300_45,300,45,Dataset3,GRU,45,1.4337,36.25,15.78,9.31,0.09229277253211429,0.010300819646880751,20.907701742620112
2,Size_300_45,300,45,Dataset3,RNN,45,0.8474,3.83,13.3,8.43,0.09998246478751494,0.015342385462291075,22.892918865834073
2,Size_300_45,300,45,Dataset3,CNN,45,0.7204,3.48,11.63,8.38,0.10165521468495504,0.013883036103368126,23.402591385379278
2,Size_300_45,300,45,Dataset3,Transformer,45,1.2659,10.98,12.47,9.29,0.42825816633710284,0.19051325631441138,89.34905845106353
2,Size_600_90,600,90,TimeTrack,LSTM,600,1.8955,17.68,17.44,11.24,0.007814978423314566,0.0002658784401509925,3.782433670306161
2,Size_600_90,600,90,TimeTrack,GRU,600,3.442,33.43,22.43,14.27,0.007655147179258059,0.00026241049057368235,3.6986845096597665
2,Size_600_90,600,90,TimeTrack,RNN,600,1.3455,5.56,19.9,13.21,0.006988928214239476,0.00024598931207651855,3.363750272791281
2,Size_600_90,600,90,TimeTrack,CNN,600,0.5298,8.87,14.12,9.16,0.007791171031847548,0.0002782460446922693,3.7271977982525137
2,Size_600_90,600,90,TimeTrack,Transformer,600,2.3242,27.09,23.26,15.35,0.007914695342771914,0.0002947663054945901,3.802133053769161
2,Size_600_90,600,90,Dataset2,LSTM,90,1.5247,33.45,14.95,9.76,0.01335244598959445,0.0004245247414942905,15.305772973149361
2,Size_600_90,600,90,Dataset2,GRU,90,1.3679,35.95,14.13,9.32,0.014413215568466375,0.0004339217824656351,16.83603647795244
2,Size_600_90,600,90,Dataset2,RNN,90,0.6906,15.55,13.26,8.22,0.016751607853799883,0.00048212872770055147,20.543790591102045
2,Size_600_90,600,90,Dataset2,CNN,90,0.5487,7.5,12.46,8.02,0.010947996016339055,0.0003265546651639805,12.369636071482176
2,Size_600_90,600,90,Dataset2,Transformer,90,1.3086,26.07,15.76,10.27,0.010251087458862036,0.00044860879663479906,10.060390541336018
2,Size_600_90,600,90,Dataset3,LSTM,90,1.2423,32.65,14.95,9.04,0.07842919580616269,0.009439908074035384,29.84993524939645
2,Size_600_90,600,90,Dataset3,GRU,90,1.3157,41.77,16.61,8.84,0.0832893410892078,0.009681106873409707,36.37570120897051
2,Size_600_90,600,90,Dataset3,RNN,90,0.7215,6.84,14.95,8.66,0.09852004705079284,0.012841469620695198,39.59279609989152
2,Size_600_90,600,90,Dataset3,CNN,90,0.434,8.62,12.47,7.62,0.07418165426679167,0.00922539799778087,27.249503414490857
2,Size_600_90,600,90,Dataset3,Transformer,90,1.3298,22.31,14.88,10.34,0.1839465111610295,0.04274033447740244,61.60155847747271
2,Size_1200_180,1200,180,TimeTrack,LSTM,1200,2.0718,38.91,24.08,12.47,0.0048363759577549304,3.825872442939238e-05,2.6369567473253546
2,Size_1200_180,1200,180,TimeTrack,GRU,1200,2.2354,36.98,20.77,13.28,0.004920758615575446,3.905142359608917e-05,2.6818048997162394
2,Size_1200_180,1200,180,TimeTrack,RNN,1200,2.436,13.61,20.77,16.27,0.004953231262862708,3.9595664409018366e-05,2.6718637223354254
2,Size_1200_180,1200,180,TimeTrack,CNN,1200,1.9527,7.93,14.93,12.18,0.004856332237428766,3.8756753304503885e-05,2.6512699657584013
2,Size_1200_180,1200,180,TimeTrack,Transformer,1200,1.9846,27.65,22.43,16.07,0.004958560439137472,4.1464291150398734e-05,2.718675699502204
2,Size_1200_180,1200,180,Dataset2,LSTM,180,2.4626,127.16,14.96,9.07,0.024118238286497996,0.0008480891311329671,26.990299829100994
2,Size_1200_180,1200,180,Dataset2,GRU,180,1.2505,6.75,14.96,9.12,0.029466871384749675,0.0010747266751273644,35.07031353884805
2,Size_1200_180,1200,180,Dataset2,RNN,180,0.8245,4.01,15.75,9.88,0.02351317906639076,0.0009238102588113051,25.096454943342582
2,Size_1200_180,1200,180,Dataset2,CNN,180,0.4574,1.23,11.53,7.59,0.022986413262658534,0.000820785257790164,26.1802363129283
2,Size_1200_180,1200,180,Dataset2,Transformer,180,1.4772,20.11,16.63,11.45,0.020725545198731245,0.0009732282698203221,18.76337230854921
2,Size_1200_180,1200,180,Dataset3,LSTM,180,1.3211,27.91,15.79,9.64,0.12652103804132542,0.021558945917067425,20.486693665176336
2,Size_1200_180,1200,180,Dataset3,GRU,180,1.2518,30.39,15.76,9.24,0.3017161287697036,0.09463850665801643,49.85881463656081
2,Size_1200_180,1200,180,Dataset3,RNN,180,1.264,15.27,15.69,11.37,0.07992944635721656,0.009830932070117135,12.984438512071744
2,Size_1200_180,1200,180,Dataset3,CNN,180,0.481,7.5,10.7,7.61,0.13331107228291397,0.026231045954441805,21.722451862336904
2,Size_1200_180,1200,180,Dataset3,Transformer,180,1.4539,27.86,16.62,11.6,0.4436252832304142,0.20065346047665522,73.72133699218072
2,Size_2400_360,2400,360,TimeTrack,LSTM,2400,5.5924,35.04,23.24,16.03,0.01824363597361396,0.0008407552698502376,8.029706154121834
2,Size_2400_360,2400,360,TimeTrack,GRU,2400,2.4845,42.32,23.18,14.15,0.01770747502557382,0.0009948752998110233,7.383015646059684
2,Size_2400_360,2400,360,TimeTrack,RNN,2400,4.8222,7.32,23.27,18.16,0.016933478867121293,0.0007751023974872665,7.56565796912278
2,Size_2400_360,2400,360,TimeTrack,CNN,2400,1.8017,7.45,18.27,12.62,0.018882262285061745,0.0008479251195575228,8.490980753666888
2,Size_2400_360,2400,360,TimeTrack,Transformer,2400,2.7789,26.59,25.75,18.01,0.020952544019961102,0.0012978379518667768,8.728378531682864
2,Size_2400_360,2400,360,Dataset2,LSTM,360,1.7716,26.92,17.44,11.12,0.02413042709060819,0.0007021642518085695,30.553049565869316
2,Size_2400_360,2400,360,Dataset2,GRU,360,2.4764,31.22,18.16,12.51,0.027334333422351705,0.0008457481823043231,35.873478507160264
2,Size_2400_360,2400,360,Dataset2,RNN,360,1.3468,6.9,17.33,11.83,0.017039193046925635,0.0005004176504552433,20.969088686176338
2,Size_2400_360,2400,360,Dataset2,CNN,360,1.1516,7.84,340.26,38.68,0.016380263510664187,0.000490816689709456,19.149508937750397
2,Size_2400_360,2400,360,Dataset2,Transformer,360,1.804,24.35,19.11,12.98,0.028042890430208064,0.0008566708836623358,37.60490577869351
2,Size_2400_360,2400,360,Dataset3,LSTM,360,2.5003,33.3,16.62,11.76,0.07671414432990953,0.008353873280853368,16.109790259201805
2,Size_2400_360,2400,360,Dataset3,GRU,360,2.3762,32.2,17.43,12.42,0.07309030819994937,0.007659494136076076,14.826208506079835
2,Size_2400_360,2400,360,Dataset3,RNN,360,1.0571,16.6,16.62,11.04,0.07310130361722178,0.008054864287254436,14.757441499346701
2,Size_2400_360,2400,360,Dataset3,CNN,360,1.1366,7.86,14.12,10.36,0.07225780828562382,0.007588098060533432,14.726212935285249
2,Size_2400_360,2400,360,Dataset3,Transformer,360,1.9039,21.32,19.93,13.39,0.24457734418243368,0.07309154749796841,44.056626464649995
2,Size_4800_720,4800,720,TimeTrack,LSTM,4800,15.417,40.19,23.27,17.48,0.014976209325201254,0.0009187207008035357,6.220509770948135
2,Size_4800_720,4800,720,TimeTrack,GRU,4800,12.0615,39.11,25.68,17.7,0.017787651547763156,0.0009622397172648703,7.7004448048323475
2,Size_4800_720,4800,720,TimeTrack,RNN,4800,5.0134,211.57,22.43,16.89,0.019948823244058105,0.001034340692810684,8.885403499060144
